path,corpus,filename,n_pages,source_tool,source_category,content_type,recommended_strategy,n_native,n_scanned,n_mixed,n_empty,pages_needing_ocr,ocr_quality,parse_seconds,error
data/annuel_reports/ABEILLE ASSURANCES/09 SFCR 2022 - 10 Abeille Vie.pdf,annuel_reports,09 SFCR 2022 - 10 Abeille Vie.pdf,52,Unknown,other,native,use_native_extraction,52,0,0,0,0,not_applicable,18.72,
data/annuel_reports/ABEILLE ASSURANCES/10 SFCR 2022 - 11 Abeille Epargne Retraite.pdf,annuel_reports,10 SFCR 2022 - 11 Abeille Epargne Retraite.pdf,40,Unknown,other,native,use_native_extraction,40,0,0,0,0,not_applicable,7.93,
data/annuel_reports/ABEILLE ASSURANCES/11 SFCR 2022 - 12 Abeille Iard & Santé.pdf,annuel_reports,11 SFCR 2022 - 12 Abeille Iard & Santé.pdf,44,Unknown,other,native,use_native_extraction,44,0,0,0,0,not_applicable,8.56,
data/annuel_reports/ABEILLE ASSURANCES/11 SFCR-12-Abeille Vie-vTravail.pdf,annuel_reports,11 SFCR-12-Abeille Vie-vTravail.pdf,48,Unknown,other,native,use_native_extraction,48,0,0,0,0,not_applicable,10.05,
data/annuel_reports/ABEILLE ASSURANCES/11 SFCR2024-12-Abeille Vie.pdf,annuel_reports,11 SFCR2024-12-Abeille Vie.pdf,38,Unknown,other,native,use_native_extraction,37,0,0,0,0,not_applicable,9.84,
data/annuel_reports/ABEILLE ASSURANCES/12 SFCR-13-AER-vTravail.pdf,annuel_reports,12 SFCR-13-AER-vTravail.pdf,36,Unknown,other,native,use_native_extraction,36,0,0,0,0,not_applicable,5.34,
data/annuel_reports/ABEILLE ASSURANCES/12 SFCR2024-13-AER.pdf,annuel_reports,12 SFCR2024-13-AER.pdf,29,Unknown,other,native,use_native_extraction,28,0,0,0,0,not_applicable,5.65,
data/annuel_reports/ABEILLE ASSURANCES/13 SFCR-14-Abeille IARDS-vTravail.pdf,annuel_reports,13 SFCR-14-Abeille IARDS-vTravail.pdf,36,Unknown,other,native,use_native_extraction,36,0,0,0,0,not_applicable,5.39,
data/annuel_reports/ABEILLE ASSURANCES/13 SFCR2024-14-AIS.pdf,annuel_reports,13 SFCR2024-14-AIS.pdf,30,Unknown,other,native,use_native_extraction,29,0,0,0,0,not_applicable,5.97,
data/annuel_reports/AIG/aig-2024-annual-report.pdf,annuel_reports,aig-2024-annual-report.pdf,236,Adobe InDesign,design_tool,native,use_native_extraction,230,1,0,0,1,good,94.79,
data/annuel_reports/ALBINGIA/RAPPORT_SOLVABILITE_ALBINGIA_2024 (1).pdf,annuel_reports,RAPPORT_SOLVABILITE_ALBINGIA_2024 (1).pdf,25,Adobe InDesign,design_tool,mixed,per_page_routing,23,0,0,0,0,not_applicable,4.26,
data/annuel_reports/ALLIANZ FRANCE/rapport_de_solvabilite_allianz_iard.pdf,annuel_reports,rapport_de_solvabilite_allianz_iard.pdf,99,Unknown,other,mixed,per_page_routing,86,1,0,0,1,not_applicable,27.08,
data/annuel_reports/ALLIANZ GLOBAL CORPORATE & SPECIALTY (AGCS)/AGCS-Annual-Report-2024-EN.pdf,annuel_reports,AGCS-Annual-Report-2024-EN.pdf,58,Adobe PDF Library,other,mixed,per_page_routing,53,1,0,1,1,not_applicable,64.33,
data/annuel_reports/ARCH Insurance Europe DAC/ARE-SFCR-2024-w-QRT-s.pdf,annuel_reports,ARE-SFCR-2024-w-QRT-s.pdf,75,Unknown,other,native,use_native_extraction,74,1,0,0,0,good,47.89,
data/annuel_reports/AREAS/rapport_d_activite_2024 AREAS.pdf,annuel_reports,rapport_d_activite_2024 AREAS.pdf,7,Adobe InDesign,design_tool,mixed,per_page_routing,5,1,0,0,0,good,3.74,
data/annuel_reports/AXA FRANCE/aN0S-p5xUNkB1WqD_axa_ri2024_accessible_vf.pdf,annuel_reports,aN0S-p5xUNkB1WqD_axa_ri2024_accessible_vf.pdf,30,Adobe InDesign,design_tool,mixed,per_page_routing,23,6,1,0,1,good,14.9,
data/annuel_reports/AXA XL/consolidated-financial-statements-for-year-ended-december-31-2024-and-2023.pdf,annuel_reports,consolidated-financial-statements-for-year-ended-december-31-2024-and-2023.pdf,107,Kofax,scanned,native,use_native_extraction,106,1,0,0,1,not_applicable,40.88,
data/annuel_reports/AXERIA/SFCR-Axeria-iard-2024-Eng.pdf,annuel_reports,SFCR-Axeria-iard-2024-Eng.pdf,55,Ghostscript,word_native,native,use_native_extraction,53,0,0,0,0,not_applicable,20.47,
data/annuel_reports/BEAZLEY/annual-report-2024 BEAZLEY.pdf,annuel_reports,annual-report-2024 BEAZLEY.pdf,268,Unknown,other,mixed,per_page_routing,249,6,12,1,0,good,100.76,
data/annuel_reports/BERKSHIRE HATHAWAY SPECIALTY INSURANCE (BHSI)/Disclosure_Statement_for_YE2024_Eng_Aug-2025_v4_d08152025 BERKSHIRE.pdf,annuel_reports,Disclosure_Statement_for_YE2024_Eng_Aug-2025_v4_d08152025 BERKSHIRE.pdf,5,Unknown,other,native,use_native_extraction,5,0,0,0,0,not_applicable,1.61,
data/annuel_reports/CHUBB/chubb-limited-annual-report-2024.pdf,annuel_reports,chubb-limited-annual-report-2024.pdf,304,Adobe InDesign,design_tool,native,use_native_extraction,298,2,1,3,0,good,176.65,
data/annuel_reports/CNA HARDY/cicl-report-and-accounts-2024 CNA.pdf,annuel_reports,cicl-report-and-accounts-2024 CNA.pdf,75,Microsoft Word,word_native,native,use_native_extraction,74,0,1,0,0,not_applicable,15.16,
data/annuel_reports/COOPER GAY  NAGICO/2023-NAGICO-Annual-Report.pdf,annuel_reports,2023-NAGICO-Annual-Report.pdf,16,Adobe Illustrator,design_tool,mixed,per_page_routing,12,0,0,0,0,not_applicable,6.96,
